Time,Pitch 4,Pitch 5,Pitch 6
10:00,Hackney Bulls 2 v Old Colfeians 3,Blackheath 2 v Sidcup 2,Old Albanians 1 v Old Elthamians 3
10:40,Old Colfeians 3 v Old Elthamians 3,Blackheath 2 v Hackney Bulls 2,Old Albanians 1 v Sidcup 2
11:20,Hackney Bulls 2 v Old Elthamians 3,Old Colfeians 3 v Sidcup 2,Blackheath 2 v Old Albanians 1
12:00,Hackney Bulls 2 v Old Albanians 1,Blackheath 2 v Old Colfeians 3,Old Elthamians 3 v Sidcup 2
12:40,Blackheath 2 v Old Elthamians 3,Old Albanians 1 v Old Colfeians 3,Hackney Bulls 2 v Sidcup 2
