Time,Pitch 1,Pitch 2,Pitch 3
10:00,Blackheath 1 v Old Colfeians 4,Old Elthamians 4 v Sidcup 2,Medway 1 v Old Alleynians RFC
10:30,Blackheath 1 v Sidcup 2,Old Alleynians RFC v Old Colfeians 4,Medway 1 v Old Elthamians 4
11:00,Blackheath 1 v Medway 1,Old Colfeians 4 v Sidcup 2,Old Alleynians RFC v Old Elthamians 4
11:30,Medway 1 v Sidcup 2,Blackheath 1 v Old Alleynians RFC,Old Colfeians 4 v Old Elthamians 4
12:00,Old Alleynians RFC v Sidcup 2,Blackheath 1 v Old Elthamians 4,Medway 1 v Old Colfeians 4
