Time,Pitch 4,Pitch 5,Pitch 6
10:15,Old Albanians 2 v Tunbridge Wells RFC,Blackheath 4 v Old Elthamians 3,Old Colfeians 3 v Sidcup 1
10:45,Old Colfeians 3 v Tunbridge Wells RFC,Old Albanians 2 v Old Elthamians 3,Blackheath 4 v Sidcup 1
11:15,Blackheath 4 v Tunbridge Wells RFC,Old Elthamians 3 v Sidcup 1,Old Albanians 2 v Old Colfeians 3
11:45,Sidcup 1 v Tunbridge Wells RFC,Blackheath 4 v Old Albanians 2,Old Colfeians 3 v Old Elthamians 3
12:15,Old Albanians 2 v Sidcup 1,Blackheath 4 v Old Colfeians 3,Old Elthamians 3 v Tunbridge Wells RFC
