Time,Pitch 4,Pitch 5,Pitch 6
10:00,Sevenoaks 2 v Tonbridge Juddians 2,Old Colfeians 2 v Old Elthamians 2,Blackheath 3 v Old Albanians 1
10:30,Old Colfeians 2 v Sevenoaks 2,Blackheath 3 v Old Elthamians 2,Old Albanians 1 v Tonbridge Juddians 2
11:00,Old Colfeians 2 v Tonbridge Juddians 2,Blackheath 3 v Sevenoaks 2,Old Albanians 1 v Old Elthamians 2
11:30,Old Elthamians 2 v Tonbridge Juddians 2,Blackheath 3 v Old Colfeians 2,Old Albanians 1 v Sevenoaks 2
12:00,Old Elthamians 2 v Sevenoaks 2,Blackheath 3 v Tonbridge Juddians 2,Old Albanians 1 v Old Colfeians 2
