Time,Pitch 7,Pitch 8,Pitch 9
10:00,Blackheath 5 v Old Elthamians 3,Hampstead 1 v Westcombe Park 1,Old Colfeians 1 v Sidcup 2
10:30,Sidcup 2 v Westcombe Park 1,Blackheath 5 v Hampstead 1,Old Colfeians 1 v Old Elthamians 3
11:00,Blackheath 5 v Old Colfeians 1,Old Elthamians 3 v Westcombe Park 1,Hampstead 1 v Sidcup 2
11:30,Hampstead 1 v Old Colfeians 1,Old Elthamians 3 v Sidcup 2,Blackheath 5 v Westcombe Park 1
12:00,Hampstead 1 v Old Elthamians 3,Blackheath 5 v Sidcup 2,Old Colfeians 1 v Westcombe Park 1
