Time,Pitch 4,Pitch 5,Pitch 6
10:00,Old Colfeians 1 v Tunbridge Wells 1,Blackheath 3 v Sevenoaks 2,Hampstead RFC v Old Elthamians 1
10:30,Sevenoaks 2 v Tunbridge Wells 1,Blackheath 3 v Old Elthamians 1,Hampstead RFC v Old Colfeians 1
11:00,Blackheath 3 v Tunbridge Wells 1,Hampstead RFC v Sevenoaks 2,Old Colfeians 1 v Old Elthamians 1
11:30,Old Elthamians 1 v Tunbridge Wells 1,Blackheath 3 v Hampstead RFC,Old Colfeians 1 v Sevenoaks 2
12:00,Old Elthamians 1 v Sevenoaks 2,Blackheath 3 v Old Colfeians 1,Hampstead RFC v Tunbridge Wells 1
