Time,Pitch 1,Pitch 2,Pitch 3
10:15,Old Dunstonian 2 v Sevenoaks 1,Old Alleynians RFC v Tonbridge Juddians 3,Blackheath 2 v Blackheath 8
10:45,Blackheath 2 v Sevenoaks 1,Old Alleynians RFC v Old Dunstonian 2,Blackheath 8 v Tonbridge Juddians 3
11:15,Old Alleynians RFC v Sevenoaks 1,Blackheath 2 v Tonbridge Juddians 3,Blackheath 8 v Old Dunstonian 2
11:45,Blackheath 8 v Sevenoaks 1,Old Dunstonian 2 v Tonbridge Juddians 3,Blackheath 2 v Old Alleynians RFC
12:15,Sevenoaks 1 v Tonbridge Juddians 3,Blackheath 2 v Old Dunstonian 2,Blackheath 8 v Old Alleynians RFC
