Time,Pitch 8,Pitch 9,Pitch 10
10:15,Dartfordians 3 v Sevenoaks 1,Old Colfeians 3 v Tunbridge Wells 1,Blackheath 7 v Cranbrook 2
10:45,Cranbrook 2 v Dartfordians 3,Old Colfeians 3 v Sevenoaks 1,Blackheath 7 v Tunbridge Wells 1
11:15,Dartfordians 3 v Tunbridge Wells 1,Cranbrook 2 v Sevenoaks 1,Blackheath 7 v Old Colfeians 3
11:45,Blackheath 7 v Dartfordians 3,Sevenoaks 1 v Tunbridge Wells 1,Cranbrook 2 v Old Colfeians 3
12:15,Dartfordians 3 v Old Colfeians 3,Cranbrook 2 v Tunbridge Wells 1,Blackheath 7 v Sevenoaks 1
