Time,Pitch 1,Pitch 2,Pitch 3
10:15,Medway RFC v Old Elthamians 4,Blackheath 4 v Tunbridge Wells 2,Old Colfeians 2 v Tonbridge Juddians 1
10:45,Old Colfeians 2 v Old Elthamians 4,Medway RFC v Tunbridge Wells 2,Blackheath 4 v Tonbridge Juddians 1
11:15,Medway RFC v Old Colfeians 2,Blackheath 4 v Old Elthamians 4,Tonbridge Juddians 1 v Tunbridge Wells 2
11:45,Medway RFC v Tonbridge Juddians 1,Blackheath 4 v Old Colfeians 2,Old Elthamians 4 v Tunbridge Wells 2
12:15,Old Elthamians 4 v Tonbridge Juddians 1,Blackheath 4 v Medway RFC,Old Colfeians 2 v Tunbridge Wells 2
