Time,Pitch 1,Pitch 2,Pitch 3
10:00,Blackheath 1 v Tonbridge Juddians 2,Blackheath 7 v Old Dunstonian 1,Old Elthamians 5 v Tunbridge Wells 2
10:30,Blackheath 1 v Tunbridge Wells 2,Old Dunstonian 1 v Tonbridge Juddians 2,Blackheath 7 v Old Elthamians 5
11:00,Blackheath 7 v Tunbridge Wells 2,Blackheath 1 v Old Dunstonian 1,Old Elthamians 5 v Tonbridge Juddians 2
11:30,Blackheath 1 v Blackheath 7,Tonbridge Juddians 2 v Tunbridge Wells 2,Old Dunstonian 1 v Old Elthamians 5
12:00,Blackheath 7 v Tonbridge Juddians 2,Old Dunstonian 1 v Tunbridge Wells 2,Blackheath 1 v Old Elthamians 5
