Time,Pitch 7,Pitch 8,Pitch 9
10:15,Hampstead 2 v Westcombe Park 2,Blackheath 6 v Tonbridge Juddians 1,Old Colfeians 2 v Old Elthamians 4
10:45,Hampstead 2 v Old Elthamians 4,Old Colfeians 2 v Tonbridge Juddians 1,Blackheath 6 v Westcombe Park 2
11:15,Blackheath 6 v Old Elthamians 4,Hampstead 2 v Old Colfeians 2,Tonbridge Juddians 1 v Westcombe Park 2
11:45,Hampstead 2 v Tonbridge Juddians 1,Blackheath 6 v Old Colfeians 2,Old Elthamians 4 v Westcombe Park 2
12:15,Old Elthamians 4 v Tonbridge Juddians 1,Old Colfeians 2 v Westcombe Park 2,Blackheath 6 v Hampstead 2
