Time,Pitch 7,Pitch 4
10:00,Tunbridge Wells RFC v Westcombe Park 1,Dartfordians 3 v Old Colfeians 3
10:30,Hampstead 3 v Old Colfeians 3,Dartfordians 3 v Westcombe Park 1
11:00,Dartfordians 3 v Hampstead 3,Old Colfeians 3 v Tunbridge Wells RFC
11:30,Old Colfeians 3 v Westcombe Park 1,Hampstead 3 v Tunbridge Wells RFC
12:00,Hampstead 3 v Westcombe Park 1,Dartfordians 3 v Tunbridge Wells RFC
