Time,Pitch 3,Pitch 4
10:15,Dartfordians 1 v Tonbridge Juddians 2,Blackheath 3 v Old Colfeians 1
10:45,Old Elthamians 4 v Tonbridge Juddians 2,Blackheath 3 v Dartfordians 1
11:15,Dartfordians 1 v Old Elthamians 4,Old Colfeians 1 v Tonbridge Juddians 2
11:45,Blackheath 3 v Tonbridge Juddians 2,Old Colfeians 1 v Old Elthamians 4
12:15,Dartfordians 1 v Old Colfeians 1,Blackheath 3 v Old Elthamians 4
