Time,Pitch 4,Pitch 5,Pitch 6
10:00,Dartfordians 3 v Tonbridge Juddians 2,Blackheath 3 v Westcombe Park 1,Old Elthamians 2 v Sidcup 2
10:30,Dartfordians 3 v Westcombe Park 1,Old Elthamians 2 v Tonbridge Juddians 2,Blackheath 3 v Sidcup 2
11:00,Tonbridge Juddians 2 v Westcombe Park 1,Dartfordians 3 v Sidcup 2,Blackheath 3 v Old Elthamians 2
11:30,Sidcup 2 v Tonbridge Juddians 2,Blackheath 3 v Dartfordians 3,Old Elthamians 2 v Westcombe Park 1
12:00,Dartfordians 3 v Old Elthamians 2,Blackheath 3 v Tonbridge Juddians 2,Sidcup 2 v Westcombe Park 1
