Time,Pitch 4,Pitch 5,Pitch 6
10:15,Dartfordians 1 v Old Colfeians 1,Old Elthamians 3 v Sidcup 1,Blackheath 4 v Hampstead 1
10:45,Blackheath 4 v Old Colfeians 1,Dartfordians 1 v Sidcup 1,Hampstead 1 v Old Elthamians 3
11:15,Dartfordians 1 v Hampstead 1,Blackheath 4 v Old Elthamians 3,Old Colfeians 1 v Sidcup 1
11:45,Hampstead 1 v Old Colfeians 1,Blackheath 4 v Sidcup 1,Dartfordians 1 v Old Elthamians 3
12:15,Hampstead 1 v Sidcup 1,Blackheath 4 v Dartfordians 1,Old Colfeians 1 v Old Elthamians 3
