Time,Pitch 1,Pitch 2,Pitch 3
10:00,Blackheath 1 v Westcombe Park 2,Cambridge 1 v Tonbridge Juddians 1,Medway RFC v Old Colfeians 4
10:40,Old Colfeians 4 v Westcombe Park 2,Blackheath 1 v Cambridge 1,Medway RFC v Tonbridge Juddians 1
11:20,Old Colfeians 4 v Tonbridge Juddians 1,Cambridge 1 v Westcombe Park 2,Blackheath 1 v Medway RFC
11:30,Cambridge 1 v Old Colfeians 4,Medway RFC v Westcombe Park 2,Blackheath 1 v Tonbridge Juddians 1
12:40,Cambridge 1 v Medway RFC,Tonbridge Juddians 1 v Westcombe Park 2,Blackheath 1 v Old Colfeians 4
