Time,Pitch 7,Pitch 4
10:00,Bishops Stortford 1 v Dartfordians 3,Cambridge 2 v Old Elthamians 2
10:40,Blackheath 2 v Dartfordians 3,Bishops Stortford 1 v Cambridge 2
11:20,Bishops Stortford 1 v Old Elthamians 2,Blackheath 2 v Cambridge 2
11:30,Blackheath 2 v Old Elthamians 2,Cambridge 2 v Dartfordians 3
12:40,Bishops Stortford 1 v Blackheath 2,Dartfordians 3 v Old Elthamians 2
