Time,Pitch 5,Pitch 6,Pitch 7
10:20,Dartfordians 1 v Old Elthamians 3,Bishops Stortford 3 v Sidcup 1,Hampstead RFC v Old Colfeians 1
11:00,Old Colfeians 1 v Old Elthamians 3,Dartfordians 1 v Sidcup 1,Bishops Stortford 3 v Hampstead RFC
11:40,Bishops Stortford 3 v Old Elthamians 3,Dartfordians 1 v Old Colfeians 1,Hampstead RFC v Sidcup 1
12:20,Old Elthamians 3 v Sidcup 1,Dartfordians 1 v Hampstead RFC,Bishops Stortford 3 v Old Colfeians 1
13:00,Bishops Stortford 3 v Dartfordians 1,Old Colfeians 1 v Sidcup 1,Hampstead RFC v Old Elthamians 3
