Time,Pitch 7,Pitch 8,Pitch 9
10:20,Medway 1 v Old Colfeians 2,Cranbrook 2 v Westcombe Park 2,Old Elthamians 3 v Tonbridge Juddians 1
11:00,Old Colfeians 2 v Old Elthamians 3,Medway 1 v Westcombe Park 2,Cranbrook 2 v Tonbridge Juddians 1
11:30,Old Colfeians 2 v Tonbridge Juddians 1,Old Elthamians 3 v Westcombe Park 2,Cranbrook 2 v Medway 1
12:20,Medway 1 v Old Elthamians 3,Cranbrook 2 v Old Colfeians 2,Tonbridge Juddians 1 v Westcombe Park 2
13:00,Cranbrook 2 v Old Elthamians 3,Medway 1 v Tonbridge Juddians 1,Old Colfeians 2 v Westcombe Park 2
