Time,Pitch 4,Pitch 5,Pitch 6
10:20,Medway RFC v Old Dunstonian RFC,Old Albanians RFC v Old Alleynians RFC,Sidcup 1 v Tunbridge Wells 1
11:00,Old Dunstonian RFC v Sidcup 1,Medway RFC v Old Albanians RFC,Old Alleynians RFC v Tunbridge Wells 1
11:40,Old Albanians RFC v Old Dunstonian RFC,Old Alleynians RFC v Sidcup 1,Medway RFC v Tunbridge Wells 1
12:20,Medway RFC v Sidcup 1,Old Albanians RFC v Tunbridge Wells 1,Old Alleynians RFC v Old Dunstonian RFC
13:00,Medway RFC v Old Alleynians RFC,Old Albanians RFC v Sidcup 1,Old Dunstonian RFC v Tunbridge Wells 1
