Time,Pitch 1,Pitch 2,Pitch 3
10:20,Sevenoaks 1 v Tonbridge Juddians 1,Blackheath 2 v Cambridge 2,Old Colfeians 2 v Old Elthamians 2
11:00,Cambridge 2 v Old Elthamians 2,Old Colfeians 2 v Sevenoaks 1,Blackheath 2 v Tonbridge Juddians 1
11:40,Blackheath 2 v Old Elthamians 2,Old Colfeians 2 v Tonbridge Juddians 1,Cambridge 2 v Sevenoaks 1
12:20,Old Elthamians 2 v Sevenoaks 1,Blackheath 2 v Old Colfeians 2,Cambridge 2 v Tonbridge Juddians 1
13:00,Blackheath 2 v Sevenoaks 1,Cambridge 2 v Old Colfeians 2,Old Elthamians 2 v Tonbridge Juddians 1
