Time,Pitch 1,Pitch 2,Pitch 3
10:00,Old Colfeians 1 v Sidcup 2,Blackheath 1 v Old Elthamians 3,Hackney Bulls 1 v Cambridge 1
10:40,Hackney Bulls 1 v Old Colfeians 1,Cambridge 1 v Old Elthamians 3,Blackheath 1 v Sidcup 2
11:20,Hackney Bulls 1 v Old Elthamians 3,Blackheath 1 v Old Colfeians 1,Cambridge 1 v Sidcup 2
12:00,Hackney Bulls 1 v Sidcup 2,Blackheath 1 v Cambridge 1,Old Colfeians 1 v Old Elthamians 3
12:40,Old Elthamians 3 v Sidcup 2,Cambridge 1 v Old Colfeians 1,Blackheath 1 v Hackney Bulls 1
