Time,Pitch 2,Pitch 5
10:20,Sidcup 1 v Tunbridge Wells 2,Old Albanians 1 v Old Elthamians 1
11:00,Old Albanians 1 v Tunbridge Wells 2,Blackheath 4 v Sidcup 1
11:40,Blackheath 4 v Tunbridge Wells 2,Old Elthamians 1 v Sidcup 1
12:20,Blackheath 4 v Old Albanians 1,Old Elthamians 1 v Tunbridge Wells 2
13:00,Blackheath 4 v Old Elthamians 1,Old Albanians 1 v Sidcup 1
