Time,Pitch 4,Pitch 5,Pitch 6
10:00,Hampstead 2 v Sidcup 1,Blackheath 3 v Old Alleynians RFC,Old Elthamians 1 v Tunbridge Wells 2
10:40,Old Elthamians 1 v Sidcup 1,Hampstead 2 v Old Alleynians RFC,Blackheath 3 v Tunbridge Wells 2
11:20,Sidcup 1 v Tunbridge Wells 2,Old Alleynians RFC v Old Elthamians 1,Blackheath 3 v Hampstead 2
12:00,Blackheath 3 v Sidcup 1,Hampstead 2 v Old Elthamians 1,Old Alleynians RFC v Tunbridge Wells 2
12:40,Old Alleynians RFC v Sidcup 1,Hampstead 2 v Tunbridge Wells 2,Blackheath 3 v Old Elthamians 1
