Time,Pitch 7,Pitch 4
10:00,Tunbridge Wells 2 v Westcombe Park 1,Cranbrook 2 v Medway 2
10:30,Cranbrook 2 v Westcombe Park 1,Medway 2 v Sevenoaks 1
11:00,Cranbrook 2 v Tunbridge Wells 2,Sevenoaks 1 v Westcombe Park 1
11:30,Cranbrook 2 v Sevenoaks 1,Medway 2 v Tunbridge Wells 2
12:00,Sevenoaks 1 v Tunbridge Wells 2,Medway 2 v Westcombe Park 1
