Time,Pitch 1,Pitch 2,Pitch 3
10:00,Hampstead 2 v Westcombe Park 2,Old Alleynians RFC v Tonbridge Juddians 1,Blackheath 1 v Old Elthamians 3
10:40,Blackheath 1 v Tonbridge Juddians 1,Hampstead 2 v Old Alleynians RFC,Old Elthamians 3 v Westcombe Park 2
11:20,Blackheath 1 v Westcombe Park 2,Old Alleynians RFC v Old Elthamians 3,Hampstead 2 v Tonbridge Juddians 1
12:00,Hampstead 2 v Old Elthamians 3,Blackheath 1 v Old Alleynians RFC,Tonbridge Juddians 1 v Westcombe Park 2
12:40,Blackheath 1 v Hampstead 2,Old Alleynians RFC v Westcombe Park 2,Old Elthamians 3 v Tonbridge Juddians 1
