Time,Pitch 7,Pitch 8,Pitch 9
10:00,Old Colfeians 2 v Tonbridge Juddians 1,Medway 2 v Old Elthamians 3,Cranbrook 1 v Westcombe Park 2
10:40,Cranbrook 1 v Old Elthamians 3,Medway 2 v Old Colfeians 2,Tonbridge Juddians 1 v Westcombe Park 2
11:20,Old Elthamians 3 v Westcombe Park 2,Medway 2 v Tonbridge Juddians 1,Cranbrook 1 v Old Colfeians 2
12:00,Old Elthamians 3 v Tonbridge Juddians 1,Old Colfeians 2 v Westcombe Park 2,Cranbrook 1 v Medway 2
12:40,Old Colfeians 2 v Old Elthamians 3,Medway 2 v Westcombe Park 2,Cranbrook 1 v Tonbridge Juddians 1
