Time,Pitch 4,Pitch 5,Pitch 6
10:00,Blackheath 2 v Medway RFC,Sevenoaks 1 v Tonbridge Juddians 2,Hackney Bulls v Old Colfeians 1
10:40,Blackheath 2 v Hackney Bulls,Medway RFC v Sevenoaks 1,Old Colfeians 1 v Tonbridge Juddians 2
11:20,Blackheath 2 v Old Colfeians 1,Hackney Bulls v Sevenoaks 1,Medway RFC v Tonbridge Juddians 2
12:00,Blackheath 2 v Tonbridge Juddians 2,Old Colfeians 1 v Sevenoaks 1,Hackney Bulls v Medway RFC
12:40,Blackheath 2 v Sevenoaks 1,Hackney Bulls v Tonbridge Juddians 2,Medway RFC v Old Colfeians 1
