Time,Pitch 1,Pitch 2
10:20,Old Elthamians 2 v Sidcup 2,Dartfordians 2 v Tunbridge Wells 2
11:00,Dartfordians 2 v Old Elthamians 2,Blackheath 2 v Tunbridge Wells 2
11:40,Dartfordians 2 v Sidcup 2,Blackheath 2 v Old Elthamians 2
12:20,Old Elthamians 2 v Tunbridge Wells 2,Blackheath 2 v Sidcup 2
13:00,Sidcup 2 v Tunbridge Wells 2,Blackheath 2 v Dartfordians 2
