Time,Pitch 3,Pitch 4
10:20,Old Colfeians RFC v Sevenoaks 2,Tonbridge Juddians 2 v Westcombe Park 2
11:00,Old Colfeians RFC v Tonbridge Juddians 2,Hampstead RFC v Sevenoaks 2
11:40,Hampstead RFC v Old Colfeians RFC,Sevenoaks 2 v Westcombe Park 2
12:20,Old Colfeians RFC v Westcombe Park 2,Hampstead RFC v Tonbridge Juddians 2
13:00,Sevenoaks 2 v Tonbridge Juddians 2,Hampstead RFC v Westcombe Park 2
