Time,Pitch 1,Pitch 2
10:00,Blackheath 1 v Tunbridge Wells 1,Dartfordians 1 v Old Elthamians 1
10:40,Blackheath 1 v Dartfordians 1,Sidcup 1 v Tunbridge Wells 1
11:20,Dartfordians 1 v Sidcup 1,Blackheath 1 v Old Elthamians 1
11:30,Old Elthamians 1 v Sidcup 1,Dartfordians 1 v Tunbridge Wells 1
12:40,Old Elthamians 1 v Tunbridge Wells 1,Blackheath 1 v Sidcup 1
