Time,Pitch 3,Pitch 4
10:00,Old Alleynians RFC v Tonbridge Juddians 1,Sevenoaks 1 v Westcombe Park 1
10:50,Old Alleynians RFC v Westcombe Park 1,Cranbrook 1 v Tonbridge Juddians 1
11:40,Sevenoaks 1 v Tonbridge Juddians 1,Cranbrook 1 v Old Alleynians RFC
12:30,Tonbridge Juddians 1 v Westcombe Park 1,Cranbrook 1 v Sevenoaks 1
13:20,Cranbrook 1 v Westcombe Park 1,Old Alleynians RFC v Sevenoaks 1
