Time,Pitch 1,Pitch 2,Pitch 3
10:00,Sevenoaks 1 v Westcombe Park 1,Blackheath 1 v Dartfordians 1,Medway RFC v Tonbridge Juddians 1
11:00,Dartfordians 1 v Westcombe Park 1,Sevenoaks 1 v Tonbridge Juddians 1,Blackheath 1 v Medway RFC
12:00,Medway RFC v Sevenoaks 1,Blackheath 1 v Westcombe Park 1,Dartfordians 1 v Tonbridge Juddians 1
13:00,Medway RFC v Westcombe Park 1,Blackheath 1 v Tonbridge Juddians 1,Dartfordians 1 v Sevenoaks 1
14:00,Blackheath 1 v Sevenoaks 1,Tonbridge Juddians 1 v Westcombe Park 1,Dartfordians 1 v Medway RFC
